Datetime,PJME_MW
2002-01-01 00:00:00,22470.3
2002-01-01 01:00:00,21296.4
2002-01-01 02:00:00,21761.0
2002-01-01 03:00:00,22829.8
2002-01-01 04:00:00,22312.7
2002-01-01 05:00:00,23665.5
2002-01-01 06:00:00,26836.4
2002-01-01 07:00:00,28144.8
2002-01-01 08:00:00,29197.5
2002-01-01 09:00:00,31969.7
2002-01-01 10:00:00,32886.6
2002-01-01 11:00:00,34220.6
2002-01-01 12:00:00,35620.8
2002-01-01 13:00:00,34152.4
2002-01-01 14:00:00,33950.4
2002-01-01 15:00:00,33939.1
2002-01-01 16:00:00,32117.0
2002-01-01 17:00:00,31309.1
2002-01-01 18:00:00,28200.9
2002-01-01 19:00:00,25576.3
2002-01-01 20:00:00,25745.7
2002-01-01 21:00:00,22520.8
2002-01-01 22:00:00,21297.1
2002-01-01 23:00:00,19177.7
2002-01-02 00:00:00,21637.8
2002-01-02 01:00:00,21496.1
2002-01-02 02:00:00,20322.4
2002-01-02 03:00:00,21912.2
2002-01-02 04:00:00,22019.9
2002-01-02 05:00:00,23619.8
2002-01-02 06:00:00,25092.0
2002-01-02 07:00:00,29013.0
2002-01-02 08:00:00,29562.6
2002-01-02 09:00:00,30689.8
2002-01-02 10:00:00,33915.7
2002-01-02 11:00:00,33616.8
2002-01-02 12:00:00,35594.6
2002-01-02 13:00:00,34115.6
2002-01-02 14:00:00,34268.1
2002-01-02 15:00:00,34546.7
2002-01-02 16:00:00,33518.4
2002-01-02 17:00:00,31195.1
2002-01-02 18:00:00,28835.1
2002-01-02 19:00:00,26465.6
2002-01-02 20:00:00,23390.7
2002-01-02 21:00:00,22125.9
2002-01-02 22:00:00,20874.9
2002-01-02 23:00:00,21163.5
2002-01-03 00:00:00,22348.5
2002-01-03 01:00:00,19997.3
2002-01-03 02:00:00,21502.8
2002-01-03 03:00:00,21303.9
2002-01-03 04:00:00,21959.2
2002-01-03 05:00:00,24342.8
2002-01-03 06:00:00,26398.5
2002-01-03 07:00:00,28276.5
2002-01-03 08:00:00,28902.3
2002-01-03 09:00:00,31288.9
2002-01-03 10:00:00,33523.0
2002-01-03 11:00:00,35374.2
2002-01-03 12:00:00,35044.5
2002-01-03 13:00:00,35535.1
2002-01-03 14:00:00,34445.9
2002-01-03 15:00:00,33432.6
2002-01-03 16:00:00,33578.0
2002-01-03 17:00:00,32143.3
2002-01-03 18:00:00,28870.4
2002-01-03 19:00:00,27509.7
2002-01-03 20:00:00,24863.2
2002-01-03 21:00:00,22186.0
2002-01-03 22:00:00,21532.9
2002-01-03 23:00:00,21548.6
2002-01-04 00:00:00,22045.3
2002-01-04 01:00:00,22659.7
2002-01-04 02:00:00,19148.0
2002-01-04 03:00:00,22269.9
2002-01-04 04:00:00,22570.7
2002-01-04 05:00:00,23614.6
2002-01-04 06:00:00,25647.4
2002-01-04 07:00:00,25941.8
2002-01-04 08:00:00,29398.3
2002-01-04 09:00:00,31822.3
2002-01-04 10:00:00,34440.6
2002-01-04 11:00:00,34179.5
2002-01-04 12:00:00,34781.4
2002-01-04 13:00:00,35282.6
2002-01-04 14:00:00,36063.6
2002-01-04 15:00:00,34652.9
2002-01-04 16:00:00,32504.5
2002-01-04 17:00:00,31469.3
2002-01-04 18:00:00,29006.0
2002-01-04 19:00:00,27482.1
2002-01-04 20:00:00,24012.6
2002-01-04 21:00:00,22440.3
2002-01-04 22:00:00,20930.4
2002-01-04 23:00:00,19147.7
2002-01-05 00:00:00,19811.2
2002-01-05 01:00:00,19117.2
2002-01-05 02:00:00,18748.3
2002-01-05 03:00:00,18925.0
2002-01-05 04:00:00,18869.1
2002-01-05 05:00:00,21017.6
2002-01-05 06:00:00,22800.2
2002-01-05 07:00:00,24390.3
2002-01-05 08:00:00,26945.4
2002-01-05 09:00:00,29360.2
2002-01-05 10:00:00,32267.6
2002-01-05 11:00:00,32234.1
2002-01-05 12:00:00,33134.6
2002-01-05 13:00:00,33124.7
2002-01-05 14:00:00,31296.6
2002-01-05 15:00:00,31869.0
2002-01-05 16:00:00,30476.8
2002-01-05 17:00:00,30529.6
2002-01-05 18:00:00,26274.7
2002-01-05 19:00:00,24448.7
2002-01-05 20:00:00,22046.8
2002-01-05 21:00:00,19267.8
2002-01-05 22:00:00,19658.7
2002-01-05 23:00:00,18420.4
2002-01-06 00:00:00,20207.4
2002-01-06 01:00:00,18181.2
2002-01-06 02:00:00,19866.7
2002-01-06 03:00:00,17991.5
2002-01-06 04:00:00,20471.2
2002-01-06 05:00:00,23106.8
2002-01-06 06:00:00,22282.3
2002-01-06 07:00:00,24579.4
2002-01-06 08:00:00,27154.4
2002-01-06 09:00:00,28634.5
2002-01-06 10:00:00,29518.4
2002-01-06 11:00:00,32149.6
2002-01-06 12:00:00,32079.0
2002-01-06 13:00:00,33563.5
2002-01-06 14:00:00,32096.4
2002-01-06 15:00:00,33130.5
2002-01-06 16:00:00,29802.3
2002-01-06 17:00:00,28301.7
2002-01-06 18:00:00,27079.8
2002-01-06 19:00:00,23223.1
2002-01-06 20:00:00,22256.8
2002-01-06 21:00:00,21248.8
2002-01-06 22:00:00,17458.8
2002-01-06 23:00:00,17966.9
2002-01-07 00:00:00,22282.8
2002-01-07 01:00:00,22034.5
2002-01-07 02:00:00,20255.3
2002-01-07 03:00:00,20557.0
2002-01-07 04:00:00,22919.6
2002-01-07 05:00:00,24092.4
2002-01-07 06:00:00,25775.4
2002-01-07 07:00:00,27810.0
2002-01-07 08:00:00,29031.0
2002-01-07 09:00:00,31723.4
2002-01-07 10:00:00,33493.8
2002-01-07 11:00:00,34023.6
2002-01-07 12:00:00,36921.8
2002-01-07 13:00:00,36064.0
2002-01-07 14:00:00,34379.3
2002-01-07 15:00:00,34916.1
2002-01-07 16:00:00,32149.5
2002-01-07 17:00:00,31689.3
2002-01-07 18:00:00,29856.2
2002-01-07 19:00:00,26051.6
2002-01-07 20:00:00,25345.9
2002-01-07 21:00:00,23033.6
2002-01-07 22:00:00,21902.8
2002-01-07 23:00:00,21836.9
2002-01-08 00:00:00,21878.9
2002-01-08 01:00:00,20806.4
2002-01-08 02:00:00,20533.5
2002-01-08 03:00:00,20961.0
2002-01-08 04:00:00,22440.7
2002-01-08 05:00:00,24128.0
2002-01-08 06:00:00,25796.7
2002-01-08 07:00:00,28194.9
2002-01-08 08:00:00,29585.8
2002-01-08 09:00:00,32700.8
2002-01-08 10:00:00,33047.9
2002-01-08 11:00:00,36771.6
2002-01-08 12:00:00,35930.1
2002-01-08 13:00:00,34999.6
2002-01-08 14:00:00,34475.9
2002-01-08 15:00:00,34777.2
2002-01-08 16:00:00,32750.8
2002-01-08 17:00:00,31631.2
2002-01-08 18:00:00,29308.2
2002-01-08 19:00:00,26650.2
2002-01-08 20:00:00,23898.1
2002-01-08 21:00:00,21491.8
2002-01-08 22:00:00,20888.2
2002-01-08 23:00:00,21004.9
2002-01-09 00:00:00,22246.9
2002-01-09 01:00:00,20413.1
2002-01-09 02:00:00,21384.0
2002-01-09 03:00:00,21922.2
2002-01-09 04:00:00,21795.6
2002-01-09 05:00:00,23978.4
2002-01-09 06:00:00,25622.2
2002-01-09 07:00:00,26619.1
2002-01-09 08:00:00,29861.9
2002-01-09 09:00:00,31986.9
2002-01-09 10:00:00,34126.4
2002-01-09 11:00:00,35438.8
2002-01-09 12:00:00,34327.7
2002-01-09 13:00:00,34935.4
2002-01-09 14:00:00,35745.0
2002-01-09 15:00:00,34802.6
2002-01-09 16:00:00,33342.0
2002-01-09 17:00:00,34142.5
2002-01-09 18:00:00,29386.7
2002-01-09 19:00:00,27617.3
2002-01-09 20:00:00,25339.1
2002-01-09 21:00:00,23225.2
2002-01-09 22:00:00,20993.6
2002-01-09 23:00:00,20927.3
2002-01-10 00:00:00,21457.7
2002-01-10 01:00:00,21220.5
2002-01-10 02:00:00,20857.5
2002-01-10 03:00:00,21679.8
2002-01-10 04:00:00,24354.8
2002-01-10 05:00:00,22362.0
2002-01-10 06:00:00,26125.0
2002-01-10 07:00:00,26243.6
2002-01-10 08:00:00,29198.5
2002-01-10 09:00:00,32409.8
2002-01-10 10:00:00,33311.7
2002-01-10 11:00:00,33733.9
2002-01-10 12:00:00,34857.9
2002-01-10 13:00:00,36229.6
2002-01-10 14:00:00,34749.0
2002-01-10 15:00:00,34565.0
2002-01-10 16:00:00,32966.7
2002-01-10 17:00:00,30539.4
2002-01-10 18:00:00,30645.4
2002-01-10 19:00:00,27216.3
2002-01-10 20:00:00,22956.1
2002-01-10 21:00:00,22853.5
2002-01-10 22:00:00,20716.7
2002-01-10 23:00:00,21002.4
2002-01-11 00:00:00,21442.2
2002-01-11 01:00:00,21318.5
2002-01-11 02:00:00,21650.1
2002-01-11 03:00:00,22307.2
2002-01-11 04:00:00,21543.1
2002-01-11 05:00:00,23588.5
2002-01-11 06:00:00,25196.4
2002-01-11 07:00:00,27011.5
2002-01-11 08:00:00,30988.7
2002-01-11 09:00:00,31862.9
2002-01-11 10:00:00,32251.9
2002-01-11 11:00:00,35330.7
2002-01-11 12:00:00,37128.2
2002-01-11 13:00:00,36512.3
2002-01-11 14:00:00,34118.1
2002-01-11 15:00:00,34004.8
2002-01-11 16:00:00,33944.1
2002-01-11 17:00:00,30494.9
2002-01-11 18:00:00,29285.7
2002-01-11 19:00:00,27329.2
2002-01-11 20:00:00,23835.0
2002-01-11 21:00:00,22657.1
2002-01-11 22:00:00,18653.4
2002-01-11 23:00:00,19501.3
2002-01-12 00:00:00,19374.5
2002-01-12 01:00:00,17912.4
2002-01-12 02:00:00,20052.4
2002-01-12 03:00:00,17970.9
2002-01-12 04:00:00,19651.7
2002-01-12 05:00:00,21461.0
2002-01-12 06:00:00,24229.7
2002-01-12 07:00:00,23885.8
2002-01-12 08:00:00,28007.2
2002-01-12 09:00:00,29047.5
2002-01-12 10:00:00,29975.7
2002-01-12 11:00:00,32466.5
2002-01-12 12:00:00,33090.1
2002-01-12 13:00:00,32706.4
2002-01-12 14:00:00,32889.8
2002-01-12 15:00:00,31584.3
2002-01-12 16:00:00,30521.7
2002-01-12 17:00:00,29091.0
2002-01-12 18:00:00,27699.7
2002-01-12 19:00:00,23219.5
2002-01-12 20:00:00,23783.3
2002-01-12 21:00:00,18643.4
2002-01-12 22:00:00,18625.3
2002-01-12 23:00:00,18291.8
2002-01-13 00:00:00,19801.7
2002-01-13 01:00:00,18412.8
